cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2023-12,2023,12,random_forest_100,30,0.4622356433543429,4.791842836106688,8.121600520578573,311.0,193.71620502261538
2024-01,2024,1,naive_lag12,30,0.8767123287671232,2.1333333333333333,3.151719107619417,73.0,17.0
2024-01,2024,1,climatology_municipal,30,0.6616438356164384,1.6099999999999999,2.3335595128472724,73.0,43.50000000000001
2024-01,2024,1,climatology_state,30,0.9783473265576669,2.3806451612903228,3.200001625910097,73.0,42.096774193548406
2024-01,2024,1,historical_mean_3y,30,0.815068493150685,1.9833333333333334,3.018001546277492,73.0,21.0
2024-01,2024,1,xgboost_poisson_flat,30,0.7031817957015901,1.7110757028738695,2.5267863264560555,73.0,42.034853516422686
2024-01,2024,1,xgboost_poisson_municipal,30,0.7417623352312483,1.8049550157293708,2.7278345485305713,73.0,37.532093572288986
2024-01,2024,1,glm_poisson,30,0.849724437053151,2.067662796829334,2.9043324147813934,73.0,32.302835595163835
2024-01,2024,1,tweedie_p1.5,30,0.8549533431900989,2.0803864684292406,2.9660797533508494,73.0,27.132357725919302
2024-01,2024,1,random_forest_100,30,0.7947784987517553,1.9339610136292713,2.7788346765153684,73.0,30.817231487646154
2024-02,2024,2,naive_lag12,30,1.3,0.43333333333333335,0.752772652709081,10.0,9.0
2024-02,2024,2,climatology_municipal,30,1.2950000000000004,0.43166666666666675,0.6613748306873091,10.0,6.45
2024-02,2024,2,climatology_state,30,1.3329032258064522,0.44430107526881735,0.6617510852170828,10.0,6.241935483870968
2024-02,2024,2,historical_mean_3y,30,1.4999999999999998,0.49999999999999994,0.79115480528524,10.0,9.666666666666666
2024-02,2024,2,xgboost_poisson_flat,30,1.245644770484518,0.41521492349483935,0.6303263761482508,10.0,6.392408208474379
2024-02,2024,2,xgboost_poisson_municipal,30,1.2334982641752323,0.4111660880584108,0.6656312025297607,10.0,4.982443376252807
2024-02,2024,2,glm_poisson,30,1.5791641767657474,0.5263880589219158,0.6150851603512486,10.0,14.087570329374717
2024-02,2024,2,tweedie_p1.5,30,1.407847316692609,0.4692824388975364,0.6166769686674554,10.0,9.618582725480964
2024-02,2024,2,random_forest_100,30,1.2527786630600044,0.41759288768666813,0.681475043634346,10.0,5.010631004949484
2024-03,2024,3,naive_lag12,30,1.75,0.23333333333333334,0.5477225575051661,4.0,5.0
2024-03,2024,3,climatology_municipal,30,1.4874999999999996,0.19833333333333328,0.5529466520379701,4.0,2.4499999999999997
2024-03,2024,3,climatology_state,30,1.513709677419355,0.20182795698924733,0.5643617300374868,4.0,2.370967741935484
2024-03,2024,3,historical_mean_3y,30,1.5,0.2,0.5510931896727664,4.0,2.6666666666666665
2024-03,2024,3,xgboost_poisson_flat,30,1.477471997099683,0.19699626627995773,0.5650566545726174,4.0,2.1987133078480716
2024-03,2024,3,xgboost_poisson_municipal,30,1.373392222191512,0.18311896295886826,0.5771230924714591,4.0,1.5960907043112835
2024-03,2024,3,glm_poisson,30,2.4296894716798714,0.3239585962239829,0.5725133458914073,4.0,6.566740826336726
2024-03,2024,3,tweedie_p1.5,30,1.945719411738607,0.25942925489848095,0.5640135082640089,4.0,4.335716912650291
2024-03,2024,3,random_forest_100,30,1.435853348233386,0.19144711309778478,0.5625756257642693,4.0,2.079048068263189
2024-04,2024,4,naive_lag12,30,0.6,0.1,0.408248290463863,5.0,2.0
2024-04,2024,4,climatology_municipal,30,1.0699999999999998,0.1783333333333333,0.7234754084740315,5.0,0.8500000000000002
2024-04,2024,4,climatology_state,30,1.14258064516129,0.1904301075268817,0.7471805021145836,5.0,0.8225806451612906
2024-04,2024,4,historical_mean_3y,30,0.8666666666666668,0.14444444444444446,0.6353768202442577,5.0,0.6666666666666666
2024-04,2024,4,xgboost_poisson_flat,30,1.1118087174100761,0.18530145290167935,0.6856690838086649,5.0,1.3780310825161037
2024-04,2024,4,xgboost_poisson_municipal,30,1.0207527702930428,0.17012546171550713,0.6748152554611356,5.0,1.039562912952886
2024-04,2024,4,glm_poisson,30,1.68447968574988,0.28074661429164666,0.7330440509620693,5.0,3.9795805898982675
2024-04,2024,4,tweedie_p1.5,30,1.485274255820718,0.247545709303453,0.7353565330784125,5.0,2.83295163827722
2024-04,2024,4,random_forest_100,30,1.12382715495931,0.18730452582655166,0.6696806236208871,5.0,1.655591389651214
2024-05,2024,5,naive_lag12,30,1.0909090909090908,0.4,1.1254628677422756,11.0,3.0
2024-05,2024,5,climatology_municipal,30,1.1136363636363635,0.4083333333333333,1.1021569761154713,11.0,1.8500000000000003
2024-05,2024,5,climatology_state,30,1.119354838709678,0.41043010752688186,1.1224072137689771,11.0,1.7903225806451606
2024-05,2024,5,historical_mean_3y,30,1.0606060606060606,0.3888888888888889,0.9047201327032124,11.0,4.666666666666667
2024-05,2024,5,xgboost_poisson_flat,30,1.1514329540549908,0.4221920831534966,1.1172666824958868,11.0,2.3608232114678667
2024-05,2024,5,xgboost_poisson_municipal,30,1.135722865805651,0.4164317174620721,1.1260654896962046,11.0,1.8826294680603375
2024-05,2024,5,glm_poisson,30,1.2671400489045601,0.46461801793167207,1.1053982090068837,11.0,3.9967822724482165
2024-05,2024,5,tweedie_p1.5,30,1.1929719092230846,0.43742303338179767,1.1108924406656355,11.0,2.9942657191335966
2024-05,2024,5,random_forest_100,30,1.1302936971700766,0.41444102229569474,1.1351239391056602,11.0,1.7147579936154724
2024-06,2024,6,naive_lag12,30,1.0,0.5333333333333333,1.2649110640673518,16.0,4.0
2024-06,2024,6,climatology_municipal,30,1.0874999999999997,0.5799999999999998,1.2550564396339579,16.0,4.1000000000000005
2024-06,2024,6,climatology_state,30,1.132258064516129,0.6038709677419355,1.2947652014216122,16.0,3.9677419354838714
2024-06,2024,6,historical_mean_3y,30,1.1250000000000002,0.6000000000000001,1.1122216672215286,16.0,9.333333333333332
2024-06,2024,6,xgboost_poisson_flat,30,0.8323548694324141,0.44392259703062087,0.9241466655494304,16.0,7.508520985167319
2024-06,2024,6,xgboost_poisson_municipal,30,0.6507162011896218,0.34704864063446494,0.7849893886746093,16.0,9.616695218749168
2024-06,2024,6,glm_poisson,30,1.2040694048236216,0.6421703492392649,1.2721635482080558,16.0,6.269502243563193
2024-06,2024,6,tweedie_p1.5,30,1.1650971173624223,0.6213851292599586,1.2792267686398346,16.0,5.1433880563914265
2024-06,2024,6,random_forest_100,30,0.9986464432096878,0.5326114363785002,1.2312557272998603,16.0,3.5854084676660127
2024-07,2024,7,naive_lag12,30,3.0833333333333335,1.2333333333333334,3.3015148038438356,12.0,35.0
2024-07,2024,7,climatology_municipal,30,1.3944444444444446,0.5577777777777778,1.1359447039228496,12.0,10.633333333333335
